Contract A,Contract B,Similarity
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x604d.sol,99.58
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0x1c47.sol,99.55
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x1c47.sol,99.55
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x1c47.sol,99.55
TransparentUpgradeableProxy_0xda9c.sol,TransparentUpgradeableProxy_0x1c47.sol,99.55
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x3d90.sol,99.54
TransparentUpgradeableProxy_0x1c47.sol,TransparentUpgradeableProxy_0xbca3.sol,99.54
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xebf6.sol,99.54
ERC1967Proxy_0x604d.sol,ERC1967Proxy_0xb2ec.sol,99.54
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xee7a.sol,99.54
TransparentUpgradeableProxy_0xd72a.sol,TransparentUpgradeableProxy_0x1c47.sol,99.54
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x1c47.sol,99.54
TransparentUpgradeableProxy_0x5aea.sol,TransparentUpgradeableProxy_0x1c47.sol,99.54
TransparentUpgradeableProxy_0x3d90.sol,ERC1967Proxy_0x445f.sol,99.54
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x3d90.sol,99.54
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x445f.sol,99.54
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x1c47.sol,99.54
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x604d.sol,99.53
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xb2ec.sol,99.52
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x6874.sol,99.52
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x3d90.sol,99.51
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x1c47.sol,99.5
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x2e51.sol,99.49
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x5aea.sol,99.49
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xd72a.sol,99.49
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x1c47.sol,99.49
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x2e51.sol,99.49
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xbca3.sol,99.49
TransparentUpgradeableProxy_0x5aea.sol,TransparentUpgradeableProxy_0x6874.sol,99.47
TransparentUpgradeableProxy_0x6874.sol,TransparentUpgradeableProxy_0xbca3.sol,99.47
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x6874.sol,99.47
TransparentUpgradeableProxy_0xd72a.sol,TransparentUpgradeableProxy_0x6874.sol,99.47
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x6874.sol,99.47
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x6c96.sol,99.46
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0x6c96.sol,99.46
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x5c7b.sol,99.46
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xda9c.sol,99.46
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x6c96.sol,99.45
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x6c96.sol,99.45
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x5aea.sol,99.45
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xbca3.sol,99.45
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0xd72a.sol,99.45
ERC1967Proxy_0xf4e1.sol,VaultProxy_0x0e60.sol,99.42
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x6c96.sol,99.4
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x2e51.sol,99.4
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xebf6.sol,99.38
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x445f.sol,99.38
ERC1967Proxy_0xb2ec.sol,TransparentUpgradeableProxy_0x3d90.sol,99.38
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x6c96.sol,99.38
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xee7a.sol,99.38
ERC1967Proxy_0x604d.sol,TransparentUpgradeableProxy_0x3d90.sol,99.32
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x1c47.sol,99.3
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x1c47.sol,99.3
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x445f.sol,99.3
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0xb2ec.sol,99.29
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x3d90.sol,99.29
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x604d.sol,99.27
TransparentUpgradeableProxy_0x6874.sol,TransparentUpgradeableProxy_0x3d90.sol,99.22
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x1a88.sol,99.22
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0xebf6.sol,99.21
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x6c96.sol,99.21
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x445f.sol,99.21
