Contract A,Contract B,Similarity
ShiroToken_0xb0ac.sol,DelegationManager_0xdb9b.sol,94.41
AdminUpgradeabilityProxy_0x2a3b.sol,PENDLE_0x8085.sol,94.41
FiatTokenProxy_0xa0b8.sol,AdminUpgradeabilityProxy_0x4580.sol,94.4
UltimateTokenOwnable_0x464d.sol,TransparentUpgradeableProxy_0x4867.sol,94.4
ForwarderV4_0xb115.sol,VaultProxy_0x0e60.sol,94.4
BeefyZapRouter_0x5cc9.sol,EntryPoint_0x4337.sol,94.4
DelegationManager_0xdb9b.sol,VirtualToken_0x44ff.sol,94.4
AdminUpgradeabilityProxy_0x6c3e.sol,FiatTokenProxy_0xa0b8.sol,94.4
BeefyZapRouter_0x5cc9.sol,DelegationManager_0xdb9b.sol,94.39
TransparentUpgradeableProxy_0x4867.sol,ENSToken_0xc183.sol,94.39
ERC1967Proxy_0x423d.sol,ForwarderV4_0xb115.sol,94.38
FluidLiteVaultProxy_0x273d.sol,DVN_0x589d.sol,94.38
GravityTokenG_0x9c7b.sol,TransparentUpgradeableProxy_0x4867.sol,94.38
Proxy_0x8cd8.sol,ERC20Proxy_0x3335.sol,94.38
PlasmaVault_0x43ee.sol,ERC20Proxy_0x3335.sol,94.38
BeefyZapRouter_0x5cc9.sol,WLD_0x163f.sol,94.38
MAKA_0x9ff7.sol,ERC1967Proxy_0xb2ec.sol,94.37
DVN_0x589d.sol,WLD_0x163f.sol,94.37
BeefyZapRouter_0x5cc9.sol,PENDLE_0x8085.sol,94.37
NonfungiblePositionManager_0xc364.sol,CustodialWalletFactoryV2_0x5b61.sol,94.37
DelegationManager_0xdb9b.sol,TransparentUpgradeableProxy_0x6874.sol,94.37
MAKA_0x9ff7.sol,ERC20Proxy_0x3335.sol,94.37
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x1a88.sol,94.37
FluidLiteVaultProxy_0x273d.sol,Proxy_0x8cd8.sol,94.37
ENA_0x57e1.sol,Proxy_0x8769.sol,94.36
ENA_0x57e1.sol,Proxy_0x6daf.sol,94.36
ENA_0x57e1.sol,Proxy_0x6a41.sol,94.36
Predicter_0x71b7.sol,GamerCoin_0x728f.sol,94.36
TransparentUpgradeableProxy_0x6c96.sol,PENDLE_0x8085.sol,94.36
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x3d90.sol,94.36
ERC20Proxy_0x3335.sol,VirtualToken_0x44ff.sol,94.36
FluidLiteVaultProxy_0x273d.sol,PeerToken_0x87ac.sol,94.36
TransparentUpgradeableProxy_0x6874.sol,PENDLE_0x8085.sol,94.35
Predicter_0x71b7.sol,ENSToken_0xc183.sol,94.35
Permit2Proxy_0x89c6.sol,TransparentUpgradeableProxy_0x4867.sol,94.35
CCTPv2WithExecutor_0xdd68.sol,AdminUpgradeabilityProxy_0x2a3b.sol,94.34
ZKPToken_0xe1be.sol,NonfungiblePositionManager_0xc364.sol,94.34
ShiroToken_0xb0ac.sol,TransparentUpgradeableProxy_0x4867.sol,94.34
WLD_0x163f.sol,PENDLE_0x8085.sol,94.33
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x5aea.sol,94.33
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0xd72a.sol,94.33
AdminUpgradeabilityProxy_0x2a3b.sol,ForwarderV4_0xb115.sol,94.33
CCTPv2WithExecutor_0xdd68.sol,TransparentUpgradeableProxy_0x6874.sol,94.33
Proxy_0x8cd8.sol,SaharaToken_0xfdff.sol,94.33
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0xbca3.sol,94.33
PlasmaVault_0xc50b.sol,ERC1967Proxy_0x0d9a.sol,94.33
OFTToken_0x84ea.sol,VirtualToken_0x44ff.sol,94.33
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xe343.sol,94.33
EntryPoint_0x4337.sol,ERC1967Proxy_0xf4e1.sol,94.33
CumulativeMerkleDrop_0x1300.sol,AggregationRouterV6_0x1111.sol,94.32
TransparentUpgradeableProxy_0x1a88.sol,WLD_0x163f.sol,94.32
AdminUpgradeabilityProxy_0x2a3b.sol,VirtualToken_0x44ff.sol,94.32
GravityTokenG_0x9c7b.sol,Solver_0xae68.sol,94.32
WFCAToken_0xae45.sol,UltimateTokenOwnable_0x464d.sol,94.32
ERC1967Proxy_0xb773.sol,VirtualToken_0x44ff.sol,94.32
Proxy_0x8cd8.sol,ForwarderV4_0xb115.sol,94.32
FluidLiteVaultProxy_0x273d.sol,SaharaToken_0xfdff.sol,94.31
FluidLiteVaultProxy_0x273d.sol,ENSToken_0xc183.sol,94.31
ENSToken_0xc183.sol,GPv2Settlement_0x9008.sol,94.31
BeefyZapRouter_0x5cc9.sol,ERC1967Proxy_0xf4e1.sol,94.31
ERC1967Proxy_0xb773.sol,ForwarderV4_0xb115.sol,94.31
TransparentUpgradeableProxy_0x2e51.sol,PENDLE_0x8085.sol,94.3
ERC20Proxy_0x3335.sol,DelegationManager_0xdb9b.sol,94.3
ZKPToken_0xe1be.sol,TransparentUpgradeableProxy_0x4867.sol,94.3
TransparentUpgradeableProxy_0x2ddd.sol,ForwarderV4_0xb115.sol,94.29
TransparentUpgradeableProxy_0xda9c.sol,ForwarderV4_0xb115.sol,94.29
TransparentUpgradeableProxy_0x7623.sol,ForwarderV4_0xb115.sol,94.29
LidoExecutionLayerRewardsVault_0x388c.sol,TransparentUpgradeableProxy_0x4867.sol,94.29
ERC1967Proxy_0x5c7b.sol,ForwarderV4_0xb115.sol,94.29
EntryPoint_0x4337.sol,ERC1967Proxy_0x423d.sol,94.28
MAKA_0x9ff7.sol,Predicter_0x71b7.sol,94.28
DVN_0x589d.sol,SeaDrop_0x0000.sol,94.28
ERC1967Proxy_0xf4e1.sol,VirtualToken_0x44ff.sol,94.28
PlasmaVault_0x43ee.sol,Transfers_0x1fa5.sol,94.28
Solver_0xae68.sol,ZKPToken_0xe1be.sol,94.28
Predicter_0x71b7.sol,MetaBridge_0x0439.sol,94.27
AccountantWithRateProviders_0x78e3.sol,DVN_0x589d.sol,94.27
GravityTokenG_0x9c7b.sol,Predicter_0x71b7.sol,94.26
PlasmaVault_0xc50b.sol,ERC1967Proxy_0x604d.sol,94.26
AccountantWithRateProviders_0x78e3.sol,CumulativeMerkleDrop_0x1300.sol,94.26
SeaDrop_0x0000.sol,CustodialWalletFactoryV2_0x5b61.sol,94.26
CCTPv2WithExecutor_0xdd68.sol,PENDLE_0x8085.sol,94.26
ERC1967Proxy_0x5c7b.sol,WLD_0x163f.sol,94.25
FluidLiteVaultProxy_0x273d.sol,ShiroToken_0xb0ac.sol,94.25
PlasmaVault_0xc50b.sol,ERC1967Proxy_0x445f.sol,94.25
BeefyZapRouter_0x5cc9.sol,Solver_0xae68.sol,94.25
TransparentUpgradeableProxy_0x7623.sol,WLD_0x163f.sol,94.25
TransparentUpgradeableProxy_0xda9c.sol,WLD_0x163f.sol,94.25
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xee7a.sol,94.25
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xebf6.sol,94.25
ERC1967Proxy_0x09c3.sol,Proxy_0x8cd8.sol,94.25
TransparentUpgradeableProxy_0x2ddd.sol,WLD_0x163f.sol,94.25
PlasmaVault_0x43ee.sol,ForwarderV4_0xb115.sol,94.25
EntryPoint_0x4337.sol,TransparentUpgradeableProxy_0x6874.sol,94.25
ERC1967Proxy_0x09c3.sol,GamerCoin_0x728f.sol,94.24
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x1c47.sol,94.24
EntryPoint_0x4337.sol,TransparentUpgradeableProxy_0xf668.sol,94.23
WLD_0x163f.sol,TransparentUpgradeableProxy_0x3d90.sol,94.23
MAKA_0x9ff7.sol,VaultProxy_0x0e60.sol,94.23
PlasmaVault_0x43ee.sol,AdminUpgradeabilityProxy_0x2a3b.sol,94.23
ERC20Proxy_0x3335.sol,PENDLE_0x8085.sol,94.22
ERC1967Proxy_0x09c3.sol,DVN_0x589d.sol,94.22
WLD_0x163f.sol,TransparentUpgradeableProxy_0x1c47.sol,94.22
Mint_0xba19.sol,Solver_0xae68.sol,94.22
ERC20Proxy_0x3335.sol,AdminUpgradeabilityProxy_0x2a3b.sol,94.21
TransparentUpgradeableProxy_0x2e51.sol,WLD_0x163f.sol,94.21
ERC1967Proxy_0x09c3.sol,ENSToken_0xc183.sol,94.2
NonfungiblePositionManager_0xc364.sol,ENSToken_0xc183.sol,94.2
AccountantWithRateProviders_0x78e3.sol,GravityTokenG_0x9c7b.sol,94.2
SaharaToken_0xfdff.sol,ForwarderV4_0xb115.sol,94.2
DVN_0x589d.sol,DexRouter_0x5e1f.sol,94.2
AccountantWithRateProviders_0x78e3.sol,ENSToken_0xc183.sol,94.19
AccountantWithRateProviders_0x78e3.sol,ZKPToken_0xe1be.sol,94.19
ERC20Proxy_0x3335.sol,ERC1967Proxy_0x5c7b.sol,94.19
ERC20Proxy_0x3335.sol,TransparentUpgradeableProxy_0xda9c.sol,94.19
LidoExecutionLayerRewardsVault_0x388c.sol,Predicter_0x71b7.sol,94.19
TransparentUpgradeableProxy_0x2ddd.sol,ERC20Proxy_0x3335.sol,94.19
ERC20Proxy_0x3335.sol,TransparentUpgradeableProxy_0x7623.sol,94.19
Rebalance_0x0ccb.sol,UltimateTokenOwnable_0x464d.sol,94.18
ERC1967Proxy_0xb773.sol,PENDLE_0x8085.sol,94.17
Mint_0xba19.sol,NonfungiblePositionManager_0xc364.sol,94.17
ERC20Proxy_0x3335.sol,CCTPv2WithExecutor_0xdd68.sol,94.17
ENA_0x57e1.sol,GlideDepositFactory_0x442b.sol,94.17
ERC20Proxy_0x3335.sol,ERC1967Proxy_0x423d.sol,94.17
CCTPv2WithExecutor_0xdd68.sol,VaultProxy_0x0e60.sol,94.17
ERC1967Proxy_0x09c3.sol,ShiroToken_0xb0ac.sol,94.17
GravityTokenG_0x9c7b.sol,GPv2Settlement_0x9008.sol,94.16
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x2e51.sol,94.16
ERC1967Proxy_0xb773.sol,MAKA_0x9ff7.sol,94.16
WFCAToken_0xae45.sol,Permit2Proxy_0x89c6.sol,94.16
Rebalance_0x0ccb.sol,CustodialWalletFactoryV2_0x5b61.sol,94.16
OFTToken_0x84ea.sol,OperatorRewarder_0x6613.sol,94.16
TransparentUpgradeableProxy_0x2ddd.sol,DelegationManager_0xdb9b.sol,94.16
ERC1967Proxy_0x5c7b.sol,DelegationManager_0xdb9b.sol,94.16
CumulativeMerkleDrop_0x1300.sol,Rebalance_0x0ccb.sol,94.16
TransparentUpgradeableProxy_0x7623.sol,DelegationManager_0xdb9b.sol,94.16
TransparentUpgradeableProxy_0xda9c.sol,DelegationManager_0xdb9b.sol,94.16
PeerToken_0x87ac.sol,ForwarderV4_0xb115.sol,94.15
PlasmaVault_0xc50b.sol,VaultProxy_0x0e60.sol,94.15
EntryPoint_0x4337.sol,VirtualToken_0x44ff.sol,94.15
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xb2ec.sol,94.15
ERC20Proxy_0x3335.sol,TransparentUpgradeableProxy_0xf668.sol,94.15
WLD_0x163f.sol,ERC1967Proxy_0x604d.sol,94.13
AggregationRouterV6_0x1111.sol,CustodialWalletFactoryV2_0x5b61.sol,94.13
WFCAToken_0xae45.sol,VirtualToken_0x44ff.sol,94.13
RaveToken_0x1720.sol,VirtualToken_0x44ff.sol,94.13
ERC1967Proxy_0x5c7b.sol,PENDLE_0x8085.sol,94.12
TransparentUpgradeableProxy_0x2ddd.sol,PENDLE_0x8085.sol,94.12
AccountantWithRateProviders_0x78e3.sol,GamerCoin_0x728f.sol,94.12
CustodialWalletFactoryV2_0x5b61.sol,GlideDepositFactory_0x442b.sol,94.12
ZKPToken_0xe1be.sol,GPv2Settlement_0x9008.sol,94.12
SeaDrop_0x0000.sol,UltimateTokenOwnable_0x464d.sol,94.12
TransparentUpgradeableProxy_0xda9c.sol,PENDLE_0x8085.sol,94.12
TransparentUpgradeableProxy_0x7623.sol,PENDLE_0x8085.sol,94.12
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x6c96.sol,94.12
MultiBankGroup_0x45e0.sol,PENDLE_0x8085.sol,94.11
PlasmaVault_0xc50b.sol,BeefyZapRouter_0x5cc9.sol,94.11
PlasmaVault_0xc50b.sol,ERC20Proxy_0x3335.sol,94.11
CumulativeMerkleDrop_0x1300.sol,OFTToken_0x84ea.sol,94.11
FluidLiteVaultProxy_0x273d.sol,LidoExecutionLayerRewardsVault_0x388c.sol,94.11
TransparentUpgradeableProxy_0x6c96.sol,WLD_0x163f.sol,94.1
CumulativeMerkleDrop_0x1300.sol,SeaDrop_0x0000.sol,94.1
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x6874.sol,94.09
AccountantWithRateProviders_0x78e3.sol,UltimateTokenOwnable_0x464d.sol,94.08
Solver_0xae68.sol,UltimateTokenOwnable_0x464d.sol,94.08
CCTPv2WithExecutor_0xdd68.sol,TransparentUpgradeableProxy_0xda9c.sol,94.08
Transfers_0x1fa5.sol,CCTPv2WithExecutor_0xdd68.sol,94.08
Rebalance_0x0ccb.sol,DexRouter_0x5e1f.sol,94.08
TransparentUpgradeableProxy_0x7623.sol,CCTPv2WithExecutor_0xdd68.sol,94.08
AggregationRouterV6_0x1111.sol,BeefyZapRouter_0x5cc9.sol,94.08
TransparentUpgradeableProxy_0x2ddd.sol,CCTPv2WithExecutor_0xdd68.sol,94.08
CCTPv2WithExecutor_0xdd68.sol,ERC1967Proxy_0x5c7b.sol,94.08
WLD_0x163f.sol,ERC1967Proxy_0xb2ec.sol,94.08
ERC20Proxy_0x3335.sol,ERC1967Proxy_0xf4e1.sol,94.07
SeaDrop_0x0000.sol,SaharaToken_0xfdff.sol,94.07
Solver_0xae68.sol,ShiroToken_0xb0ac.sol,94.07
ZKPToken_0xe1be.sol,Predicter_0x71b7.sol,94.06
DexRouter_0x5e1f.sol,GamerCoin_0x728f.sol,94.06
OFTToken_0x84ea.sol,Permit2Proxy_0x89c6.sol,94.06
ERC1967Proxy_0x09c3.sol,PeerToken_0x87ac.sol,94.06
CCTPv2WithExecutor_0xdd68.sol,ForwarderV4_0xb115.sol,94.05
PlasmaVault_0xc50b.sol,LidoExecutionLayerRewardsVault_0x388c.sol,94.05
PlasmaVault_0xc50b.sol,Rebalance_0x0ccb.sol,94.05
MAKA_0x9ff7.sol,AdminUpgradeabilityProxy_0x2a3b.sol,94.04
ERC1967Proxy_0xebf6.sol,WLD_0x163f.sol,94.04
WLD_0x163f.sol,ERC1967Proxy_0x445f.sol,94.04
AdminUpgradeabilityProxy_0x2a3b.sol,SaharaToken_0xfdff.sol,94.04
AggregationRouterV6_0x1111.sol,PeerToken_0x87ac.sol,94.04
CCTPv2WithExecutor_0xdd68.sol,SaharaToken_0xfdff.sol,94.04
ERC1967Proxy_0xee7a.sol,WLD_0x163f.sol,94.04
EntryPoint_0x4337.sol,PENDLE_0x8085.sol,94.04
ERC1967Proxy_0x09c3.sol,SaharaToken_0xfdff.sol,94.03
Transfers_0x1fa5.sol,DelegationManager_0xdb9b.sol,94.03
PlasmaVault_0xc50b.sol,ERC1967Proxy_0x423d.sol,94.03
Transfers_0x1fa5.sol,ERC20Proxy_0x3335.sol,94.03
Transfers_0x1fa5.sol,WLD_0x163f.sol,94.03
AdminUpgradeabilityProxy_0x2a3b.sol,PeerToken_0x87ac.sol,94.03
SeaDrop_0x0000.sol,PeerToken_0x87ac.sol,94.02
GravityTokenG_0x9c7b.sol,OFTToken_0x84ea.sol,94.02
GravityTokenG_0x9c7b.sol,DexRouter_0x5e1f.sol,94.02
AggregationRouterV6_0x1111.sol,SaharaToken_0xfdff.sol,94.02
Proxy_0x8cd8.sol,Transfers_0x1fa5.sol,94.02
ERC1967Proxy_0xf4e1.sol,ForwarderV4_0xb115.sol,94.01
TransparentUpgradeableProxy_0x2ddd.sol,EntryPoint_0x4337.sol,94.01
ERC1967Proxy_0x5c7b.sol,EntryPoint_0x4337.sol,94.01
TransparentUpgradeableProxy_0x7623.sol,EntryPoint_0x4337.sol,94.01
TransparentUpgradeableProxy_0xda9c.sol,EntryPoint_0x4337.sol,94.01
PlasmaVault_0xc50b.sol,MAKA_0x9ff7.sol,94.01
DVN_0x589d.sol,MultiBankGroup_0x45e0.sol,94.0
OFTToken_0x84ea.sol,UltimateTokenOwnable_0x464d.sol,94.0
CCTPv2WithExecutor_0xdd68.sol,PeerToken_0x87ac.sol,94.0
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0xf668.sol,94.0
BeefyZapRouter_0x5cc9.sol,MultiBankGroup_0x45e0.sol,94.0
PENDLE_0x8085.sol,ForwarderV4_0xb115.sol,94.0
DVN_0x589d.sol,TransparentUpgradeableProxy_0x4867.sol,93.99
Mint_0xba19.sol,TransparentUpgradeableProxy_0x4867.sol,93.99
Forwarder_0x6d5d.sol,OperatorRewarder_0x6613.sol,93.99
WFCAToken_0xae45.sol,GravityTokenG_0x9c7b.sol,93.99
ENA_0x57e1.sol,Bridgers_0xb685.sol,93.99
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x5aea.sol,93.98
Solver_0xae68.sol,GamerCoin_0x728f.sol,93.98
ERC1967Proxy_0x0d9a.sol,Transfers_0x1fa5.sol,93.98
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0xd72a.sol,93.98
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0xbca3.sol,93.98
ERC1967Proxy_0xe343.sol,Transfers_0x1fa5.sol,93.98
Proxy_0x8cd8.sol,TransparentUpgradeableProxy_0x4867.sol,93.98
ERC1967Proxy_0x09c3.sol,LidoExecutionLayerRewardsVault_0x388c.sol,93.97
CumulativeMerkleDrop_0x1300.sol,NonfungiblePositionManager_0xc364.sol,93.97
EntryPoint_0x4337.sol,LidoExecutionLayerRewardsVault_0x388c.sol,93.97
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x1a88.sol,93.97
ERC1967Proxy_0x626f.sol,ERC1967Proxy_0xf4e1.sol,93.97
PlasmaVault_0x43ee.sol,CCTPv2WithExecutor_0xdd68.sol,93.96
AggregationRouterV6_0x1111.sol,DVN_0x589d.sol,93.95
Rebalance_0x0ccb.sol,MetaBridge_0x0439.sol,93.95
ERC1967Proxy_0xb773.sol,WLD_0x163f.sol,93.95
CumulativeMerkleDrop_0x1300.sol,Forwarder_0x6d5d.sol,93.95
CCTPv2WithExecutor_0xdd68.sol,ERC1967Proxy_0xf4e1.sol,93.95
RaveToken_0x1720.sol,OperatorRewarder_0x6613.sol,93.95
ERC20Proxy_0x3335.sol,WLD_0x163f.sol,93.95
CumulativeMerkleDrop_0x1300.sol,DexRouter_0x5e1f.sol,93.95
CCTPv2WithExecutor_0xdd68.sol,WLD_0x163f.sol,93.95
FluidLiteVaultProxy_0x273d.sol,BeefyZapRouter_0x5cc9.sol,93.94
PlasmaVault_0x43ee.sol,DexRouter_0x5e1f.sol,93.94
CCTPv2WithExecutor_0xdd68.sol,ERC1967Proxy_0x423d.sol,93.94
AccountantWithRateProviders_0x78e3.sol,ShiroToken_0xb0ac.sol,93.94
PENDLE_0x8085.sol,VaultProxy_0x0e60.sol,93.93
CumulativeMerkleDrop_0x1300.sol,GPv2Settlement_0x9008.sol,93.93
WLD_0x163f.sol,ForwarderV4_0xb115.sol,93.93
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x3d90.sol,93.93
Transfers_0x1fa5.sol,Solver_0xae68.sol,93.93
AggregationRouterV6_0x1111.sol,GamerCoin_0x728f.sol,93.92
PlasmaVault_0x43ee.sol,SeaDrop_0x0000.sol,93.92
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xb773.sol,93.92
FluidLiteVaultProxy_0x273d.sol,DelegationManager_0xdb9b.sol,93.92
OFTToken_0x84ea.sol,CustodialWalletFactoryV2_0x5b61.sol,93.92
ERC20Proxy_0x3335.sol,ForwarderV4_0xb115.sol,93.92
LidoExecutionLayerRewardsVault_0x388c.sol,DelegationManager_0xdb9b.sol,93.91
CCTPv2WithExecutor_0xdd68.sol,TransparentUpgradeableProxy_0xf668.sol,93.91
WFCAToken_0xae45.sol,CustodialWalletFactoryV2_0x5b61.sol,93.91
CumulativeMerkleDrop_0x1300.sol,RaveToken_0x1720.sol,93.91
OperatorRewarder_0x6613.sol,GlideDepositFactory_0x442b.sol,93.91
DelegationManager_0xdb9b.sol,PENDLE_0x8085.sol,93.91
Solver_0xae68.sol,VirtualToken_0x44ff.sol,93.91
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0xb2ec.sol,93.9
Solver_0xae68.sol,MetaBridge_0x0439.sol,93.9
Transfers_0x1fa5.sol,EntryPoint_0x4337.sol,93.9
AccountantWithRateProviders_0x78e3.sol,MetaBridge_0x0439.sol,93.89
PlasmaVault_0x43ee.sol,MultiBankGroup_0x45e0.sol,93.89
RaveToken_0x1720.sol,Permit2Proxy_0x89c6.sol,93.89
PlasmaVault_0x43ee.sol,Forwarder_0x6d5d.sol,93.88
MAKA_0x9ff7.sol,Solver_0xae68.sol,93.88
BeefyZapRouter_0x5cc9.sol,TransparentUpgradeableProxy_0x4867.sol,93.88
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0xda9c.sol,93.87
Forwarder_0x6d5d.sol,MetaBridge_0x0439.sol,93.87
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x2ddd.sol,93.87
Transfers_0x1fa5.sol,PENDLE_0x8085.sol,93.87
PlasmaVault_0xc50b.sol,ERC1967Proxy_0x5c7b.sol,93.87
PlasmaVault_0xc50b.sol,TransparentUpgradeableProxy_0x7623.sol,93.87
ENA_0x57e1.sol,OFTToken_0x84ea.sol,93.87
CustodialWalletFactoryV2_0x5b61.sol,GPv2Settlement_0x9008.sol,93.86
PlasmaVault_0xc50b.sol,WLD_0x163f.sol,93.86
FluidLiteVaultProxy_0x273d.sol,EntryPoint_0x4337.sol,93.86
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0xb773.sol,93.86
PlasmaVault_0xc50b.sol,Forwarder_0x6d5d.sol,93.86
DexRouter_0x5e1f.sol,ShiroToken_0xb0ac.sol,93.86
MAKA_0x9ff7.sol,ERC1967Proxy_0xf4e1.sol,93.86
Transfers_0x1fa5.sol,ForwarderV4_0xb115.sol,93.84
ERC1967Proxy_0x09c3.sol,DelegationManager_0xdb9b.sol,93.84
WFCAToken_0xae45.sol,WLD_0x163f.sol,93.84
TransparentUpgradeableProxy_0xf668.sol,PENDLE_0x8085.sol,93.83
Bridgers_0xb685.sol,PENDLE_0x8085.sol,93.83
AccountantWithRateProviders_0x78e3.sol,PeerToken_0x87ac.sol,93.83
SeaDrop_0x0000.sol,GamerCoin_0x728f.sol,93.83
GamerCoin_0x728f.sol,GPv2Settlement_0x9008.sol,93.83
Transfers_0x1fa5.sol,ERC1967Proxy_0x604d.sol,93.83
Forwarder_0x6d5d.sol,Permit2Proxy_0x89c6.sol,93.83
GravityTokenG_0x9c7b.sol,RaveToken_0x1720.sol,93.82
DVN_0x589d.sol,Solver_0xae68.sol,93.82
ERC1967Proxy_0x423d.sol,PENDLE_0x8085.sol,93.82
MAKA_0x9ff7.sol,DelegationManager_0xdb9b.sol,93.82
DexRouter_0x5e1f.sol,UltimateTokenOwnable_0x464d.sol,93.82
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x1c47.sol,93.82
WLD_0x163f.sol,VaultProxy_0x0e60.sol,93.81
RaveToken_0x1720.sol,CustodialWalletFactoryV2_0x5b61.sol,93.81
Proxy_0x8cd8.sol,PlasmaVault_0x43ee.sol,93.8
Transfers_0x1fa5.sol,ERC1967Proxy_0x445f.sol,93.8
Transfers_0x1fa5.sol,ERC1967Proxy_0xebf6.sol,93.8
Transfers_0x1fa5.sol,ERC1967Proxy_0xee7a.sol,93.8
FluidLiteVaultProxy_0x273d.sol,PlasmaVault_0x43ee.sol,93.8
PlasmaVault_0xc50b.sol,PENDLE_0x8085.sol,93.79
SeaDrop_0x0000.sol,DelegationManager_0xdb9b.sol,93.79
DexRouter_0x5e1f.sol,CustodialWalletFactoryV2_0x5b61.sol,93.78
NonfungiblePositionManager_0xc364.sol,GamerCoin_0x728f.sol,93.78
RaveToken_0x1720.sol,UltimateTokenOwnable_0x464d.sol,93.78
Forwarder_0x6d5d.sol,CustodialWalletFactoryV2_0x5b61.sol,93.78
AccountantWithRateProviders_0x78e3.sol,SaharaToken_0xfdff.sol,93.78
AccountantWithRateProviders_0x78e3.sol,TransparentUpgradeableProxy_0x1a88.sol,93.77
PlasmaVault_0x43ee.sol,TransparentUpgradeableProxy_0x4867.sol,93.77
TransparentUpgradeableProxy_0x2e51.sol,Transfers_0x1fa5.sol,93.76
OFTToken_0x84ea.sol,ENSToken_0xc183.sol,93.76
EntryPoint_0x4337.sol,ForwarderV4_0xb115.sol,93.75
ERC20Proxy_0x3335.sol,DexRouter_0x5e1f.sol,93.75
BeefyZapRouter_0x5cc9.sol,GPv2Settlement_0x9008.sol,93.75
NonfungiblePositionManager_0xc364.sol,MasterChefV3_0x556b.sol,93.74
Transfers_0x1fa5.sol,ERC1967Proxy_0x423d.sol,93.74
AggregationRouterV6_0x1111.sol,UltimateTokenOwnable_0x464d.sol,93.74
Rebalance_0x0ccb.sol,VirtualToken_0x44ff.sol,93.74
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x6874.sol,93.73
ERC1967Proxy_0x09c3.sol,PlasmaVault_0x43ee.sol,93.73
MultiBankGroup_0x45e0.sol,ForwarderV4_0xb115.sol,93.73
AccountantWithRateProviders_0x78e3.sol,PlasmaVault_0x43ee.sol,93.72
AdminUpgradeabilityProxy_0x2a3b.sol,DelegationManager_0xdb9b.sol,93.72
Proxy_0x6a41.sol,OperatorRewarder_0x6613.sol,93.72
Proxy_0x6daf.sol,OperatorRewarder_0x6613.sol,93.72
ENA_0x57e1.sol,RaveToken_0x1720.sol,93.72
AdminUpgradeabilityProxy_0x2a3b.sol,EntryPoint_0x4337.sol,93.72
Mint_0xba19.sol,GPv2Settlement_0x9008.sol,93.72
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0xf4e1.sol,93.72
Proxy_0x8769.sol,OperatorRewarder_0x6613.sol,93.72
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0x6c96.sol,93.72
Transfers_0x1fa5.sol,ERC1967Proxy_0xb2ec.sol,93.72
PlasmaVault_0xc50b.sol,ERC1967Proxy_0xf4e1.sol,93.72
Transfers_0x1fa5.sol,TransparentUpgradeableProxy_0xf668.sol,93.71
AccountantWithRateProviders_0x78e3.sol,TransparentUpgradeableProxy_0x2e51.sol,93.71
Rebalance_0x0ccb.sol,ShiroToken_0xb0ac.sol,93.71
PeerToken_0x87ac.sol,MultiBankGroup_0x45e0.sol,93.71
ENSToken_0xc183.sol,GlideDepositFactory_0x442b.sol,93.71
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0xee7a.sol,93.7
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0xebf6.sol,93.7
DVN_0x589d.sol,OFTToken_0x84ea.sol,93.7
Transfers_0x1fa5.sol,MultiBankGroup_0x45e0.sol,93.7
SeaDrop_0x0000.sol,EntryPoint_0x4337.sol,93.7
AccountantWithRateProviders_0x78e3.sol,ERC1967Proxy_0x445f.sol,93.7
AggregationRouterV6_0x1111.sol,MetaBridge_0x0439.sol,93.69
LidoExecutionLayerRewardsVault_0x388c.sol,MasterChefV3_0x556b.sol,93.69
ERC20Proxy_0x3335.sol,MultiBankGroup_0x45e0.sol,93.68
CumulativeMerkleDrop_0x1300.sol,GlideDepositFactory_0x442b.sol,93.68
