Contract A,Contract B,Similarity,Size A,Size B
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xbca3.sol,94.72,35070,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xec53.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x7598.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x7598.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x3328.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x238a.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x3328.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x238a.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xbca3.sol,94.72,35097,44163
TransparentUpgradeableProxy_0xbca3.sol,TransparentUpgradeableProxy_0xec53.sol,94.72,44163,35070
UUPSProxy_0x031d.sol,PProxy_0x4c17.sol,94.62,24331,22504
UUPSProxy_0x031d.sol,EthcoinProxy_0xe957.sol,94.56,24331,22502
BeaconProxy_0x74a0.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.47,23776,28981
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0xb3fa.sol,94.38,24331,36734
ERC1967Proxy_0xee7a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xebf6.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xb773.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xf4e1.sol,EthcoinProxy_0xe957.sol,93.97,23725,22502
ERC1967Proxy_0xf4e1.sol,PProxy_0x4c17.sol,93.93,23725,22504
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xee7a.sol,93.91,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xb773.sol,93.91,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xebf6.sol,93.91,23776,26631
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xf4e1.sol,93.89,36734,23725
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x5ccb.sol,93.45,35097,23612
ERC1967Proxy_0x5ccb.sol,TransparentUpgradeableProxy_0xec53.sol,93.45,23612,35070
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x604d.sol,93.45,35097,23612
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x604d.sol,93.45,35070,23612
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x604d.sol,93.45,35097,23612
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x5ccb.sol,93.45,35097,23612
ERC1967Proxy_0x604d.sol,TransparentUpgradeableProxy_0xec53.sol,93.45,23612,35070
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x5ccb.sol,93.45,35070,23612
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x18cc.sol,93.42,28908,35097
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x85ec.sol,93.42,35097,28908
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x7598.sol,93.42,28908,35070
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0xec53.sol,93.42,28908,35070
OptimizedTransparentUpgradeableProxy_0x1732.sol,TransparentUpgradeableProxy_0xec53.sol,93.09,28981,35070
TransparentUpgradeableProxy_0x18cc.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,93.09,35097,28981
TransparentUpgradeableProxy_0x7598.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,93.09,35070,28981
TransparentUpgradeableProxy_0x2e51.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,93.09,35097,28981
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x238a.sol,92.9,38428,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x3328.sol,92.9,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x3328.sol,92.9,38428,44163
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xbca3.sol,92.9,38428,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x238a.sol,92.9,38428,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0xbca3.sol,92.9,38428,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x85ec.sol,92.27,38428,28908
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x85ec.sol,92.27,38428,28908
PepeToken_0x6982.sol,SimpleToken_0x4d22.sol,92.07,20169,16736
UUPSProxy_0x031d.sol,ERC1967Proxy_0x328f.sol,91.95,24331,40825
ERC1967Proxy_0x5c7b.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.81,38428,28981
ERC1967Proxy_0x6e2a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.81,38428,28981
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x3328.sol,91.79,28908,44163
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0xbca3.sol,91.79,28908,44163
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x238a.sol,91.79,28908,44163
Turbo_0xa359.sol,SimpleToken_0x4d22.sol,91.58,21588,16736
TransparentUpgradeableProxy_0x238a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.39,44163,28981
TransparentUpgradeableProxy_0x3328.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,91.39,44163,28981
OptimizedTransparentUpgradeableProxy_0x1732.sol,TransparentUpgradeableProxy_0xbca3.sol,91.39,28981,44163
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xf4e1.sol,91.12,40825,23725
ERC1967Proxy_0x5ccb.sol,TransparentUpgradeableProxy_0xbca3.sol,90.92,23612,44163
TransparentUpgradeableProxy_0x238a.sol,ERC1967Proxy_0x604d.sol,90.92,44163,23612
TransparentUpgradeableProxy_0xf668.sol,PProxy_0x4c17.sol,90.92,40127,22504
TransparentUpgradeableProxy_0x238a.sol,ERC1967Proxy_0x5ccb.sol,90.92,44163,23612
TransparentUpgradeableProxy_0xbca3.sol,ERC1967Proxy_0x604d.sol,90.92,44163,23612
TransparentUpgradeableProxy_0x3328.sol,ERC1967Proxy_0x604d.sol,90.92,44163,23612
TransparentUpgradeableProxy_0x3328.sol,ERC1967Proxy_0x5ccb.sol,90.92,44163,23612
PProxy_0x4c17.sol,ERC1967Proxy_0xfaf1.sol,90.92,22504,40127
EthcoinProxy_0xe957.sol,ERC1967Proxy_0xfaf1.sol,90.83,22502,40127
EthcoinProxy_0xe957.sol,TransparentUpgradeableProxy_0xf668.sol,90.83,22502,40127
PepeToken_0x6982.sol,Turbo_0xa359.sol,90.77,20169,21588
TransparentUpgradeableProxy_0xb3fa.sol,PProxy_0x4c17.sol,90.54,36734,22504
TransparentUpgradeableProxy_0xb3fa.sol,EthcoinProxy_0xe957.sol,90.46,36734,22502
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x18cc.sol,90.43,23776,35097
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x2e51.sol,90.43,23776,35097
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x7598.sol,90.43,23776,35070
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0xec53.sol,90.43,23776,35070
PepeToken_0x6982.sol,FixedToken_0xd441.sol,89.67,20169,17919
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x6e2a.sol,89.67,23776,38428
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x5c7b.sol,89.67,23776,38428
ERC1967Proxy_0x6e2a.sol,ERC1967Proxy_0x5ccb.sol,89.4,38428,23612
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x5ccb.sol,89.4,38428,23612
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x604d.sol,89.4,38428,23612
ERC1967Proxy_0x6e2a.sol,ERC1967Proxy_0x604d.sol,89.4,38428,23612
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x238a.sol,89.3,23776,44163
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0xbca3.sol,89.3,23776,44163
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x3328.sol,89.3,23776,44163
EntryPoint_0x0000.sol,EntryPoint_0x5ff1.sol,89.12,79110,68376
ERC1967Proxy_0x328f.sol,PProxy_0x4c17.sol,88.8,40825,22504
ERC1967Proxy_0x328f.sol,EthcoinProxy_0xe957.sol,88.71,40825,22502
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x3328.sol,88.65,26631,44163
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xbca3.sol,88.65,26631,44163
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x238a.sol,88.65,26631,44163
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xbca3.sol,88.65,26631,44163
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x3328.sol,88.65,26631,44163
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x238a.sol,88.65,26631,44163
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x3328.sol,88.65,26631,44163
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x238a.sol,88.65,26631,44163
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xbca3.sol,88.65,26631,44163
TGCToken_0x25b4.sol,Turbo_0xa359.sol,88.43,23522,21588
FixedToken_0xd441.sol,TGCToken_0x25b4.sol,88.21,17919,23522
UUPSProxy_0x031d.sol,ERC1967Proxy_0xfaf1.sol,86.88,24331,40127
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0xf668.sol,86.88,24331,40127
ERC1967Proxy_0xee7a.sol,EthcoinProxy_0xe957.sol,86.86,26631,22502
ERC1967Proxy_0xb773.sol,EthcoinProxy_0xe957.sol,86.86,26631,22502
ERC1967Proxy_0xebf6.sol,EthcoinProxy_0xe957.sol,86.86,26631,22502
ERC1967Proxy_0xb773.sol,PProxy_0x4c17.sol,86.77,26631,22504
ERC1967Proxy_0xee7a.sol,PProxy_0x4c17.sol,86.77,26631,22504
ERC1967Proxy_0xebf6.sol,PProxy_0x4c17.sol,86.77,26631,22504
AdminUpgradableProxy_0x81d4.sol,OptimizedTransparentUpgradeableProxy_0x902f.sol,86.75,19096,17846
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0xfaf1.sol,86.25,23725,40127
ERC1967Proxy_0xf4e1.sol,TransparentUpgradeableProxy_0xf668.sol,86.25,23725,40127
AdminUpgradableProxy_0x81d4.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,86.24,19096,28981
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x85ec.sol,85.91,19096,28908
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x7598.sol,85.81,38428,35070
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x7598.sol,85.81,38428,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x6e2a.sol,85.81,35097,38428
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0xec53.sol,85.81,38428,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x5c7b.sol,85.81,35097,38428
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x18cc.sol,85.81,38428,35097
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xec53.sol,85.81,38428,35070
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x18cc.sol,85.81,38428,35097
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0xebf6.sol,85.13,38428,26631
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x6e2a.sol,85.13,26631,38428
ERC1967Proxy_0x6e2a.sol,ERC1967Proxy_0xebf6.sol,85.13,38428,26631
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x5c7b.sol,85.13,26631,38428
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x5c7b.sol,85.13,26631,38428
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x6e2a.sol,85.13,26631,38428
UUPSProxy_0x031d.sol,ERC1967Proxy_0xee7a.sol,84.93,24331,26631
UUPSProxy_0x031d.sol,ERC1967Proxy_0xb773.sol,84.93,24331,26631
UUPSProxy_0x031d.sol,ERC1967Proxy_0xebf6.sol,84.93,24331,26631
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0xf4e1.sol,84.44,26631,23725
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0xf4e1.sol,84.44,26631,23725
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xf4e1.sol,84.44,26631,23725
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0x604d.sol,83.91,19096,23612
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0x5ccb.sol,83.91,19096,23612
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0xf668.sol,83.79,44163,40127
TransparentUpgradeableProxy_0xf668.sol,TransparentUpgradeableProxy_0xbca3.sol,83.79,40127,44163
ERC1967Proxy_0xfaf1.sol,TransparentUpgradeableProxy_0xbca3.sol,83.79,40127,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xf668.sol,83.79,44163,40127
TransparentUpgradeableProxy_0x3328.sol,ERC1967Proxy_0xfaf1.sol,83.79,44163,40127
TransparentUpgradeableProxy_0x238a.sol,ERC1967Proxy_0xfaf1.sol,83.79,44163,40127
TGCToken_0x25b4.sol,SimpleToken_0x4d22.sol,83.58,23522,16736
EthcoinProxy_0xe957.sol,TransparentUpgradeableProxy_0x7598.sol,83.51,22502,35070
TransparentUpgradeableProxy_0x2e51.sol,EthcoinProxy_0xe957.sol,83.51,35097,22502
EthcoinProxy_0xe957.sol,TransparentUpgradeableProxy_0xec53.sol,83.51,22502,35070
TransparentUpgradeableProxy_0x18cc.sol,EthcoinProxy_0xe957.sol,83.51,35097,22502
TransparentUpgradeableProxy_0x7598.sol,PProxy_0x4c17.sol,83.48,35070,22504
PProxy_0x4c17.sol,TransparentUpgradeableProxy_0xec53.sol,83.48,22504,35070
TransparentUpgradeableProxy_0x18cc.sol,PProxy_0x4c17.sol,83.48,35097,22504
TransparentUpgradeableProxy_0x2e51.sol,PProxy_0x4c17.sol,83.48,35097,22504
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0x5c7b.sol,82.68,19096,38428
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0x6e2a.sol,82.68,19096,38428
PepeToken_0x6982.sol,TGCToken_0x25b4.sol,82.65,20169,23522
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0xbca3.sol,82.62,40825,44163
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0x3328.sol,82.62,40825,44163
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0x238a.sol,82.62,40825,44163
WBTC_0x2260.sol,LRC_v2_0xbbbb.sol,82.33,17628,10073
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x5ccb.sol,82.31,22502,23612
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x604d.sol,82.31,22502,23612
ERC1967Proxy_0x5ccb.sol,PProxy_0x4c17.sol,82.22,23612,22504
PProxy_0x4c17.sol,ERC1967Proxy_0x604d.sol,82.22,22504,23612
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xb3fa.sol,82.06,26631,36734
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xebf6.sol,82.06,36734,26631
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xee7a.sol,82.06,36734,26631
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x7598.sol,81.73,36734,35070
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0xec53.sol,81.73,36734,35070
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x18cc.sol,81.73,36734,35097
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x2e51.sol,81.73,36734,35097
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0x18cc.sol,81.55,24331,35097
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0x7598.sol,81.55,24331,35070
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0x2e51.sol,81.55,24331,35097
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0xec53.sol,81.55,24331,35070
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x3328.sol,81.48,19096,44163
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x238a.sol,81.48,19096,44163
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0xbca3.sol,81.48,19096,44163
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0xf668.sol,81.41,38428,40127
ERC1967Proxy_0x6e2a.sol,ERC1967Proxy_0xfaf1.sol,81.41,38428,40127
BeaconProxy_0x74a0.sol,AdminUpgradableProxy_0x81d4.sol,81.41,23776,19096
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0xfaf1.sol,81.41,38428,40127
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xf668.sol,81.41,38428,40127
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x238a.sol,81.27,36734,44163
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x3328.sol,81.27,36734,44163
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0xbca3.sol,81.27,36734,44163
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0xee7a.sol,80.79,19096,26631
AdminUpgradableProxy_0x81d4.sol,ERC1967Proxy_0xebf6.sol,80.79,19096,26631
ERC1967Proxy_0xb773.sol,AdminUpgradableProxy_0x81d4.sol,80.79,26631,19096
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x2e51.sol,80.76,19096,35097
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0xec53.sol,80.76,19096,35070
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x7598.sol,80.76,19096,35070
AdminUpgradableProxy_0x81d4.sol,TransparentUpgradeableProxy_0x18cc.sol,80.76,19096,35097
ERC1967Proxy_0xf4e1.sol,TransparentUpgradeableProxy_0xec53.sol,80.73,23725,35070
ERC1967Proxy_0xf4e1.sol,TransparentUpgradeableProxy_0x7598.sol,80.73,23725,35070
ERC1967Proxy_0xf4e1.sol,TransparentUpgradeableProxy_0x18cc.sol,80.73,23725,35097
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xf4e1.sol,80.73,35097,23725
BeaconProxy_0x74a0.sol,EthcoinProxy_0xe957.sol,80.72,23776,22502
TransparentUpgradeableProxy_0x85ec.sol,EthcoinProxy_0xe957.sol,80.48,28908,22502
TransparentUpgradeableProxy_0x85ec.sol,PProxy_0x4c17.sol,80.47,28908,22504
EthcoinProxy_0xe957.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,80.46,22502,28981
PProxy_0x4c17.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,80.45,22504,28981
